construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
RC147,pMXs,pMXs-mRuby2(miRE.FF4)-TS.FF6x1-WPRE,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3114
RC148,pMXs,pMXs-mRuby2(miRE.FF4)-TS.FF4x1-WPRE,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3115
RC149,pMXs,pMXs-mRuby2-TS.FF6x1-WPRE,FF6x1,none,1,NT,3',na,0,ts3,3116
RC150,pMXs,pMXs-mRuby2-TS.FF4x1-WPRE,FF4x1,none,1,T,3',na,0,ts3,3117
GEEC302,hPGK,hPGK-rtTA-P2A-mGL-WPRE,na,na,0,na,na,na,0,marker,1385
GEEC265,TRE3G,TRE3G-mRuby2-bGH,none,none,0,na,na,na,0,base,1487
RC151,hPGK,hPGK-mRuby2-TS.FF3x1-bGH,FF3x1,none,1,NT,3',na,0,ts3,3118
RC152,hPGK,hPGK-mRuby2-TS.FF4x1-bGH,FF4x1,none,1,T,3',na,0,ts3,3119
RC153,hPGK,hPGK-mRuby2-TS.FF5x1-bGH,FF5x1,none,1,T,3',na,0,ts3,3120
RC154,hPGK,hPGK-mRuby2-TS.FF6x1-bGH,FF6x1,none,1,NT,3',na,0,ts3,3121
RC155,hPGK,hPGK-TS.FF3x1-mRuby2-bGH,FF3x1,none,1,NT,5',na,0,ts5,3122
RC156,hPGK,hPGK-TS.FF4x1-mRuby2-bGH,FF4x1,none,1,T,5',na,0,ts5,3123
RC157,hPGK,hPGK-TS.FF5x1-mRuby2-bGH,FF5x1,none,1,T,5',na,0,ts5,3124
RC158,hPGK,hPGK-TS.FF6x1-mRuby2-bGH,FF6x1,none,1,NT,5',na,0,ts5,3125
RC159,EF1a,EF1a-mRuby2-TS.FF3x1-bGH,FF3x1,none,1,NT,3',na,0,ts3,3126
RC160,EF1a,EF1a-mRuby2-TS.FF4x1-bGH,FF4x1,none,1,T,3',na,0,ts3,3127
RC161,EF1a,EF1a-mRuby2-TS.FF5x1-bGH,FF5x1,none,1,T,3',na,0,ts3,3128
RC162,EF1a,EF1a-mRuby2-TS.FF6x1-bGH,FF6x1,none,1,NT,3',na,0,ts3,3129
RC163,EF1a,EF1a-TS.FF3x1-mRuby2-bGH,FF3x1,none,1,NT,5',na,0,ts5,3130
RC164,EF1a,EF1a-TS.FF4x1-mRuby2-bGH,FF4x1,none,1,T,5',na,0,ts5,3131
RC165,EF1a,EF1a-TS.FF5x1-mRuby2-bGH,FF5x1,none,1,T,5',na,0,ts5,3132
RC166,EF1a,EF1a-TS.FF6x1-mRuby2-bGH,FF6x1,none,1,NT,5',na,0,ts5,3133
RC167,hPGK,hPGK-mRuby2(miR.FF5)-bGH,none,miR.FF5,0,na,na,CDS,0,miR,3134
RC168,hPGK,hPGK-mRuby2-miR.FF5-bGH,none,miR.FF5,0,na,na,UTR,0,miR,3135
RC169,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF6x1-bGH,FF6x1,miR.FF5,1,NT,3',CDS,1,controller,3136
RC170,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF5x1-bGH,FF5x1,miR.FF5,1,T,3',CDS,1,controller,3137
RC171,hPGK,hPGK-mRuby2(miR.FF5)-TS.FF3x1-bGH,FF3x1,miR.FF5,1,NT,3',CDS,1,controller,3138
RC172,hPGK,hPGK-TS.FF6x1-mRuby2(miR.FF5)-bGH,FF6x1,miR.FF5,1,NT,5',CDS,2,controller,3139
RC173,hPGK,hPGK-TS.FF5x1-mRuby2(miR.FF5)-bGH,FF5x1,miR.FF5,1,T,5',CDS,2,controller,3140
RC174,hPGK,hPGK-TS.FF3x1-mRuby2(miR.FF5)-bGH,FF3x1,miR.FF5,1,NT,5',CDS,2,controller,3141
RC175,hPGK,hPGK-TS.FF6x1-mRuby2-miR.FF5-bGH,FF6x1,miR.FF5,1,NT,5',UTR,3,controller,3142
RC176,hPGK,hPGK-TS.FF5x1-mRuby2-miR.FF5-bGH,FF5x1,miR.FF5,1,T,5',UTR,3,controller,3143
RC177,hPGK,hPGK-TS.FF3x1-mRuby2-miR.FF5-bGH,FF3x1,miR.FF5,1,NT,5',UTR,3,controller,3144
RC178,EF1a,EF1a-mRuby2(miR.FF5)-bGH,none,miR.FF5,0,na,na,CDS,0,miR,3145
RC179,EF1a,EF1a-mRuby2-miR.FF5-bGH,none,miR.FF5,0,na,na,UTR,0,miR,3146
RC180,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF6x1-bGH,FF6x1,miR.FF5,1,NT,3',CDS,1,controller,3147
RC181,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF5x1-bGH,FF5x1,miR.FF5,1,T,3',CDS,1,controller,3148
RC182,EF1a,EF1a-mRuby2(miR.FF5)-TS.FF3x1-bGH,FF3x1,miR.FF5,1,NT,3',CDS,1,controller,3149
RC183,EF1a,EF1a-TS.FF6x1-mRuby2(miR.FF5)-bGH,FF6x1,miR.FF5,1,NT,5',CDS,2,controller,3150
RC184,EF1a,EF1a-TS.FF5x1-mRuby2(miR.FF5)-bGH,FF5x1,miR.FF5,1,T,5',CDS,2,controller,3151
RC185,EF1a,EF1a-TS.FF3x1-mRuby2(miR.FF5)-bGH,FF3x1,miR.FF5,1,NT,5',CDS,2,controller,3152
RC186,EF1a,EF1a-TS.FF6x1-mRuby2-miR.FF5-bGH,FF6x1,miR.FF5,1,NT,5',UTR,3,controller,3153
RC187,EF1a,EF1a-TS.FF5x1-mRuby2-miR.FF5-bGH,FF5x1,miR.FF5,1,T,5',UTR,3,controller,3154
RC188,EF1a,EF1a-TS.FF3x1-mRuby2-miR.FF5-bGH,FF3x1,miR.FF5,1,NT,5',UTR,3,controller,3155
RC189,hPGK,hPGK-mRuby2(miR.FF4)-bGH,none,miR.FF4,0,na,na,CDS,0,miR,3156
RC190,hPGK,hPGK-mRuby2-miR.FF4-bGH,none,miR.FF4,0,na,na,UTR,0,miR,3157
RC191,hPGK,hPGK-mRuby2(miR.FF4)-TS.FF6x1-bGH,FF6x1,miR.FF4,1,NT,3',CDS,1,controller,3158
RC192,hPGK,hPGK-mRuby2(miR.FF4)-TS.FF4x1-bGH,FF4x1,miR.FF4,1,T,3',CDS,1,controller,3159
RC193,hPGK,hPGK-TS.FF6x1-mRuby2(miR.FF4)-bGH,FF6x1,miR.FF4,1,NT,5',CDS,2,controller,3160
RC194,hPGK,hPGK-TS.FF4x1-mRuby2(miR.FF4)-bGH,FF4x1,miR.FF4,1,T,5',CDS,2,controller,3161
RC195,hPGK,hPGK-TS.FF6x1-mRuby2-miR.FF4-bGH,FF6x1,miR.FF4,1,NT,5',UTR,3,controller,3162
RC196,hPGK,hPGK-TS.FF4x1-mRuby2-miR.FF4-bGH,FF4x1,miR.FF4,1,T,5',UTR,3,controller,3163
RC197,EF1a,EF1a-mRuby2(miR.FF4)-bGH,none,miR.FF4,0,na,na,CDS,0,miR,3164
RC198,EF1a,EF1a-mRuby2-miR.FF4-bGH,none,miR.FF4,0,na,na,UTR,0,miR,3165
RC199,EF1a,EF1a-mRuby2(miR.FF4)-TS.FF6x1-bGH,FF6x1,miR.FF4,1,NT,3',CDS,1,controller,3166
RC200,EF1a,EF1a-mRuby2(miR.FF4)-TS.FF4x1-bGH,FF4x1,miR.FF4,1,T,3',CDS,1,controller,3167
RC201,EF1a,EF1a-TS.FF6x1-mRuby2(miR.FF4)-bGH,FF6x1,miR.FF4,1,NT,5',CDS,2,controller,3168
RC202,EF1a,EF1a-TS.FF4x1-mRuby2(miR.FF4)-bGH,FF4x1,miR.FF4,1,T,5',CDS,2,controller,3169
RC203,EF1a,EF1a-TS.FF6x1-mRuby2-miR.FF4-bGH,FF6x1,miR.FF4,1,NT,5',UTR,3,controller,3170
